Bokført	Rentedato	Tekstkode	Beskrivelse	Beløp	Arkivref.	Motkonto
30.09.2013	30.09.2013	VISA VARE	*8081 25.09 USD 30.45 THE BODY SHOP #204 Kurs: 6.0966	-185,64	50001685147	
30.09.2013	30.09.2013	VISA VARE	*8081 25.09 USD 41.98 MOLLIE STONES #9 Kurs: 6.0967	-255,94	50001685147	
30.09.2013	30.09.2013	VISA VARE	*8081 25.09 USD 13.00 7-ELEVEN 24139 Kurs: 6.0962	-79,25	50001685147	
27.09.2013	27.09.2013	VISA VARE	*8081 24.09 USD 26.94 WALGREENS #1327 Kurs: 6.1299	-165,14	50001685147	
27.09.2013	27.09.2013	VISA VARE	*4485 24.09 USD 13.50 UNION SQUARE GARAGE Kurs: 6.1296	-82,75	50001685147	
27.09.2013	27.09.2013	VISA VARE	*4485 24.09 USD 70.74 DISNEY STORE #723 Kurs: 6.1299	-433,63	50001685147	
27.09.2013	27.09.2013	VISA VARE	*4485 24.09 USD 10.33 PASTA MOTO SAN00001305 Kurs: 6.1297	-63,32	50001685147	
26.09.2013	26.09.2013	VISA VARE	*8081 22.09 USD 16.51 7-ELEVEN 24139 Kurs: 6.0164	-99,33	50001685147	
26.09.2013	26.09.2013	VISA VARE	*4485 23.09 USD 24.72 MOLLIE STONES #9 Kurs: 6.0490	-149,53	50001685147	
26.09.2013	26.09.2013	VISA VARE	*4485 23.09 USD 9.87 WALGREENS #1327 Kurs: 6.0497	-59,71	50001685147	
26.09.2013	26.09.2013	VISA VARE	*8081 21.09 USD 14.43 7-ELEVEN 24139 Kurs: 6.0049	-86,65	50001685147	
26.09.2013	26.09.2013	LÅN	Til:37061218050	-18044,00	50370669100	3706.12.18050
26.09.2013	26.09.2013	VISA VARE	*8081 21.09 USD 8.05 WALGREENS #1327 Kurs: 6.0050	-48,34	50001685147	
26.09.2013	26.09.2013	VISA VARE	*8081 21.09 USD 3.59 BUFFALO WHOLE FOODS Kurs: 6.0056	-21,56	50001685147	
26.09.2013	26.09.2013	VISA VARE	*4485 19.09 USD 22.58 MOLLIE STONES #9 Kurs: 6.0049	-135,59	50001685147	
26.09.2013	26.09.2013	VISA VARE	*8081 20.09 USD 16.60 ESCAPE FROM NEW YORK PIZZ Kurs: 6.0048	-99,68	50001685147	
26.09.2013	26.09.2013	VISA VARE	*4485 22.09 USD 74.80 BRIDGEWAY GAS STATION Kurs: 6.0048	-449,16	50001685147	
26.09.2013	26.09.2013	AVTGI	Gudbrandsdal Energi AS	-114,45	93420204	2095.19.81088
26.09.2013	26.09.2013	VISA VARE	*8081 25.09 USD 24.73 CORIANDER GOURMET THAI Kurs: 6.0489	-149,59	50001685147	
26.09.2013	26.09.2013	VISA VARE	*8081 20.09 USD 57.41 MOLLIE STONES #9 Kurs: 6.0049	-344,74	50001685147	
26.09.2013	26.09.2013	VISA VARE	*8081 22.09 USD 22.52 KASA INDIAN EATERY 1 Kurs: 6.0049	-135,23	50001685147	
26.09.2013	26.09.2013	VISA VARE	*4485 21.09 USD 95.76 HRC STORE SAN FRAN Kurs: 6.0048	-575,02	50001685147	
26.09.2013	26.09.2013	VISA VARE	*8081 20.09 USD 7.07 ZGO Kurs: 6.0042	-42,45	50001685147	
26.09.2013	26.09.2013	VISA VARE	*4485 20.09 NOK 79.00 WWW.NETFLIX.COM Kurs: 1.0000	-79,00	50001685147	
26.09.2013	26.09.2013	VISA VARE	*8081 23.09 USD 29.68 THAI HOUSE EXPRESS @ CAST Kurs: 6.0492	-179,54	50001685147	
26.09.2013	26.09.2013	VISA VARE	*8081 23.09 USD 29.61 MOLLIE STONES #9 Kurs: 6.0493	-179,12	50001685147	
26.09.2013	26.09.2013	AVTALE	Til felleskonto	32186,00	89250145	3705.09.65091
23.09.2013	23.09.2013	VISA VARE	*8081 18.09 USD 13.76 MOLLIE STONES #9 Kurs: 5.8852	-80,98	50001685147	
23.09.2013	23.09.2013	NETTGIRO	Nettgiro til: ÅRVOLLVEIEN BAR Betalt: 21.09.13	-2365,00	50389019152	1503.28.84420
20.09.2013	20.09.2013	VISA VARE	*8081 17.09 USD 288.49 SAFEWAY STORE00015073 Kurs: 6.0181	-1736,17	50001685147	
20.09.2013	20.09.2013	AVTGI	GJENSIDIGE FORSIKRING	-1192,00	93421535	6005.06.08460
20.09.2013	20.09.2013	VISA VARE	*8081 17.09 USD 26.47 MOLLIE STONES #9 Kurs: 6.0181	-159,30	50001685147	
19.09.2013	19.09.2013	VISA VARE	*8081 16.09 USD 32.44 MOLLIE STONES #9 Kurs: 6.0077	-194,89	50001685147	
18.09.2013	18.09.2013	VISA VARE	*4485 15.09 USD 21.49 CHARLEYS GRILLED SUBS Kurs: 6.0149	-129,26	50001685147	
18.09.2013	18.09.2013	VISA VARE	*8081 15.09 USD 14.62 WALGREENS #1327 Kurs: 6.0151	-87,94	50001685147	
18.09.2013	18.09.2013	VISA VARE	*4485 15.09 USD 13.00 UNION SQUARE GARAGE Kurs: 6.0146	-78,19	50001685147	
18.09.2013	18.09.2013	VISA VARE	*8081 15.09 USD 2.99 MOLLIE STONES #9 Kurs: 6.0167	-17,99	50001685147	
17.09.2013	13.09.2013	VISA KONT	*8081 13.09 USD 105.00 THE-CASTRO ET Kurs: 6.0268	-632,81	50001685147	
17.09.2013	17.09.2013	VISA VARE	*8081 14.09 USD 95.26 IMAGIKNIT Kurs: 6.0268	-574,11	50001685147	
17.09.2013	17.09.2013	VISA VARE	*4485 13.09 USD 40.76 MOLLIE STONES #9 Kurs: 6.0270	-245,66	50001685147	
17.09.2013	17.09.2013	GEBYR	VISA KONTANTUTTAK UTLAND 1 TRANS(ER) TYPE 715	-30,00	90460000	
17.09.2013	17.09.2013	VISA VARE	*4485 13.09 USD 63.00 SWIRL ON CASTRO Kurs: 6.0268	-379,69	50001685147	
17.09.2013	17.09.2013	VISA VARE	*8081 14.09 USD 78.24 MOLLIE STONES #9 Kurs: 6.0268	-471,54	50001685147	
17.09.2013	17.09.2013	VISA VARE	*4485 14.09 USD 29.95 CALIFORNIA ACADEMY OF Kurs: 6.0267	-180,50	50001685147	
